Train_id,Train_name,Train_no,Source,Destination,Date,Distance(Km),Scheduled_arrival,Act_arr_time,Delay_min,Season,Run_frequency,Delay_minutes,Year,Month,Distance_bucket
E1,Begampura Express,12238,Varanasi,Jammu,2016-01-01,1260,06:30:00,07:45:00,01:15:00,Winter,Daily,75.0,2016,1,1000-1500km
E2,Begampura Express,12238,Varanasi,Jammu,2017-01-01,1260,06:30:00,06:50:00,00:20:00,Winter,Daily,20.0,2017,1,1000-1500km
E3,Begampura Express,12238,Varanasi,Jammu,2018-01-01,1260,06:30:00,08:00:00,01:30:00,Winter,Daily,90.0,2018,1,1000-1500km
E4,Begampura Express,12238,Varanasi,Jammu,2019-01-01,1260,06:30:00,06:40:00,00:10:00,Winter,Daily,10.0,2019,1,1000-1500km
E5,Begampura Express,12238,Varanasi,Jammu,2020-01-01,1260,06:30:00,07:00:00,00:30:00,Winter,Daily,30.0,2020,1,1000-1500km
E6,Begampura Express,12238,Varanasi,Jammu,2021-07-01,1260,06:30:00,06:35:00,00:05:00,Winter,Daily,5.0,2021,7,1000-1500km
E7,Begampura Express,12238,Varanasi,Jammu,2022-01-01,1260,06:30:00,07:10:00,00:40:00,Winter,Daily,40.0,2022,1,1000-1500km
E8,Begampura Express,12238,Varanasi,Jammu,2023-01-01,1260,06:30:00,08:00:00,01:30:00,Winter,Daily,90.0,2023,1,1000-1500km
E9,Begampura Express,12238,Varanasi,Jammu,2024-01-01,1260,06:30:00,06:45:00,00:15:00,Winter,Daily,15.0,2024,1,1000-1500km
E10,Begampura Express,12238,Varanasi,Jammu,2025-01-01,1260,06:30:00,07:20:00,00:50:00,Winter,Daily,50.0,2025,1,1000-1500km
G1,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2016-02-01,1754,10:00:00,11:20:00,01:20:00,Winter,Weekly,80.0,2016,2,1500-2000km
G2,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2017-07-01,1754,10:00:00,10:45:00,00:45:00,Winter,Weekly,45.0,2017,7,1500-2000km
G3,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2018-06-01,1754,10:00:00,10:30:00,00:30:00,Winter,Weekly,30.0,2018,6,1500-2000km
G4,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2019-05-01,1754,10:00:00,10:10:00,00:10:00,Winter,Weekly,10.0,2019,5,1500-2000km
G5,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2020-04-01,1754,10:00:00,10:20:00,00:20:00,Winter,Weekly,20.0,2020,4,1500-2000km
