station_code,degree_centrality,in_degree,out_degree,station_name,zone,state,total_connections
HWH,0.004894871509622872,24,20,HOWRAH JN,,,44
LTT,0.004004894871509623,9,27,LOKMANYA TILAK TERM,,,36
YPR,0.0036711536322171544,15,18,YESVANTPUR JN,,,33
KTES,0.0036711536322171544,23,10,KATNI SOUTH,,,33
NZM,0.003559906552452998,21,11,DELHI H NIZAMUDDIN,,,32
MGS,0.003448659472688842,17,14,MUGHAL SARAI JN,,,31
GHY,0.003448659472688842,14,17,GUWAHATI,,,31
SNI,0.003448659472688842,16,15,SINDI,,,31
TGP,0.0032261653131605296,15,14,TULJAPUR,,,29
TEL,0.0032261653131605296,19,10,TENALI JN,,,29
FKM,0.0032261653131605296,16,13,FAKIRAGRAM JN,,,29
JPR,0.0032261653131605296,13,16,JAKPUR,,,29
BSL,0.0031149182333963733,16,12,BHUSAVAL JN,,,28
BSB,0.0031149182333963733,13,15,VARANASI JN,,,28
THS,0.0031149182333963733,23,5,THANSIT,,,28
KGY,0.0031149182333963733,11,17,KULGACHIA,,,28
KOPR,0.003003671153632217,12,15,KOPAR ROAD,,,27
ALD,0.003003671153632217,15,12,ALLAHABAD JN,,,27
SGWF,0.003003671153632217,17,10,WHITE FIELD SATELLITE,,,27
DVD,0.003003671153632217,14,13,DUVVADA,,,27
MTJ,0.003003671153632217,14,13,MATHURA JN,,,27
SBPD,0.003003671153632217,15,12,SAMBALPUR ROAD,,,27
KIR,0.002892424073868061,13,13,KATIHAR JN,,,26
NRG,0.002892424073868061,12,14,NERGUNDI,,,26
LKO,0.002892424073868061,13,13,LUCKNOW,,,26
NBS,0.002892424073868061,12,14,NEW BANESWAR,,,26
KGP,0.002892424073868061,15,11,KHARAGPUR JN,,,26
MBL,0.002892424073868061,8,18,MANUBOLU,,,26
KOAA,0.002892424073868061,8,18,KOLKATA CHITPUR,,,26
KYQ,0.002892424073868061,13,13,KAMAKHYA,,,26
KNPR,0.002781176994103905,14,11,KENDRAPARA ROAD,,,25
SBC,0.002781176994103905,12,13,BANGALORE CITY JN,SWR,Karnataka,25
ERS,0.002781176994103905,14,11,ERNAKULAM JN,,,25
BNDM,0.002781176994103905,12,13,BONDAMUNDA,,,25
NBQ,0.0026699299143397486,11,13,NEW BONGAIGAON,,,24
BTSR,0.0026699299143397486,5,19,BHUTESHWAR,,,24
BZA,0.0026699299143397486,14,10,VIJAYAWADA JN,,,24
SBI,0.0026699299143397486,14,10,SABARMATI JN,,,24
NDLS,0.0026699299143397486,14,10,NEW DELHI,,,24
BRAG,0.0026699299143397486,11,13,BARANG,,,24
HJN,0.0026699299143397486,22,2,HOWRAH JN. CABIN,,,24
CLKA,0.0026699299143397486,13,11,CHILKA,,,24
MLIH,0.0026699299143397486,8,16,MAULI HALT,,,24
BBSN,0.0025586828345755923,14,9,BHUBANESWAR NEW,,,23
KPD,0.0025586828345755923,12,11,KATPADI JN,,,23
LKJN,0.0025586828345755923,12,11,LINK JN. CABIN,,,23
LTI,0.0025586828345755923,10,13,LATTERI,,,23
GD,0.0025586828345755923,11,12,GONDA JN,,,23
GNVR,0.0025586828345755923,14,9,GONDWANAVISAPUR,,,23
UGD,0.0025586828345755923,11,12,UPPUGUNDURU,,,23
