station_code,station_name,hop_number,cascaded_delay,path,num_trains_affected
HWH,HOWRAH JN,0,60.0,HWH,44
KGY,KULGACHIA,1,48.0,HWH → KGY,28
JDB,JAGDALPUR,1,48.0,HWH → JDB,4
DNHL,DHANIAKHALI,1,48.0,HWH → DNHL,14
BSBP,BIR SHIBPUR,1,48.0,HWH → BSBP,19
GOL,GOILKERA,1,48.0,HWH → GOL,8
JPR,JAKPUR,1,48.0,HWH → JPR,29
JJKR,JAJPUR KEONJHAR ROAD,1,48.0,HWH → JJKR,14
CKW,CHALKHOA,1,48.0,HWH → CKW,9
KTES,KATNI SOUTH,1,48.0,HWH → KTES,33
GGTA,GHORAGHATA,1,48.0,HWH → GGTA,15
TPKR,TIKIAPARA,1,48.0,HWH → TPKR,14
ADST,ADI SAPTAGRAM,1,48.0,HWH → ADST,6
LLH,LILUAH,1,48.0,HWH → LLH,9
AZA,AZARA,1,48.0,HWH → AZA,6
BZL,BELANAGAR,1,48.0,HWH → BZL,13
MGPI,MANGARPATTI HALT,1,48.0,HWH → MGPI,3
GTS,GHATSILA,1,48.0,HWH → GTS,8
SLRA,SARALA,1,48.0,HWH → SLRA,13
MURI,MURI,1,48.0,HWH → MURI,16
KWKC,KHERWA KOCHA,1,48.0,HWH → KWKC,8
SLF,SILLI,2,38.4,HWH → MURI → SLF,6
THO,TULIN,2,38.4,HWH → MURI → THO,6
BLNG,BARLANGA,2,38.4,HWH → MURI → BLNG,7
TPQ,Topokal,2,38.4,HWH → JDB → TPQ,2
SKS,SALEKASA,2,38.4,HWH → KGY → SKS,10
SBPD,SAMBALPUR ROAD,2,38.4,HWH → SLRA → SBPD,27
NMP,NIMPURA,2,38.4,HWH → KGY → NMP,15
VKD,BAKHRABAD,2,38.4,HWH → KGY → VKD,18
BMD,BHIMADOLU,2,38.4,HWH → KGY → BMD,11
NRG,NERGUNDI,2,38.4,HWH → SLRA → NRG,26
JSGR,JHARSUGUDA ROAD,2,38.4,HWH → SLRA → JSGR,11
PVD,PEDDAVADIAPUDI,2,38.4,HWH → KGY → PVD,14
NKX,NAKTISEMRA,2,38.4,HWH → JDB → NKX,4
DKM,DIKOM,2,38.4,HWH → CKW → DKM,12
BOP,BHOGPUR,2,38.4,HWH → BSBP → BOP,22
NALR,NALPUR,2,38.4,HWH → BSBP → NALR,17
KIG,KOLAGHAT GOODS,2,38.4,HWH → BSBP → KIG,19
NGRD,NILGIRI ROAD,2,38.4,HWH → BSBP → NGRD,14
JAT,JAMMU TAWI,2,38.4,HWH → DNHL → JAT,21
AGT,AGTHORI,2,38.4,HWH → DNHL → AGT,13
MDKU,MODUKURU,2,38.4,HWH → BSBP → MDKU,18
CEL,CHEBROL,2,38.4,HWH → BSBP → CEL,13
SWR,SONUA,2,38.4,HWH → GOL → SWR,10
DRWN,DEROWAN P. HALT,2,38.4,HWH → GOL → DRWN,10
TUX,TUNIA,2,38.4,HWH → GOL → TUX,9
BUDR,BAUDPUR,2,38.4,HWH → BSBP → BUDR,14
SPRN,SALEMPUR HALT,2,38.4,HWH → MGPI → SPRN,4
DVM,DALBHUMGARH,2,38.4,HWH → GTS → DVM,6
GUD,GALUDIH,2,38.4,HWH → GTS → GUD,9
BLRG,BALASIRING,2,38.4,HWH → KWKC → BLRG,10
JON,JONHA,2,38.4,HWH → KWKC → JON,12
ROU,ROURKELA,2,38.4,HWH → MURI → ROU,17
BRKP,BARKIPONA,2,38.4,HWH → MURI → BRKP,7
KSX,KOTSHILA,2,38.4,HWH → MURI → KSX,12
ILO,ILLOO,2,38.4,HWH → MURI → ILO,11
SKAR,SAKARIYA,2,38.4,HWH → KTES → SKAR,10
TSKG,TINSUKIA GOODS,2,38.4,HWH → CKW → TSKG,6
DBRT,DIBRUGARH TOWN,2,38.4,HWH → CKW → DBRT,3
CHC,CHANCHAI,2,38.4,HWH → DNHL → CHC,11
SLG,SIMLAGARH,2,38.4,HWH → ADST → SLG,5
BDC,BANDEL JN,2,38.4,HWH → ADST → BDC,12
MUG,MAGRA,2,38.4,HWH → ADST → MUG,5
CDAE,CHANDANPUR,2,38.4,HWH → DNHL → CDAE,11
KAN,KHANA JN,2,38.4,HWH → DNHL → KAN,20
BNGN,BONGAIGAON,2,38.4,HWH → DNHL → BNGN,18
NLV,NALBARI,2,38.4,HWH → DNHL → NLV,14
KTE,KATNI,2,38.4,HWH → KTES → KTE,22
MDRR,MADHAVNAGAR ROA,2,38.4,HWH → KTES → MDRR,14
ETF,ITARSI F CABIN,2,38.4,HWH → KTES → ETF,8
SNRL,SANSARTALI,2,38.4,HWH → SLRA → SNRL,10
SSN,SASON,2,38.4,HWH → SLRA → SSN,11
LHL,LAHOAL,2,38.4,HWH → CKW → LHL,9
NBR,NAMBURU,2,38.4,HWH → JPR → NBR,8
ASB,ASANBONI,2,38.4,HWH → JPR → ASB,14
SAL,SALWA,2,38.4,HWH → JPR → SAL,10
VTM,VETAPALEMU,2,38.4,HWH → JPR → VTM,13
KLX,KOLAKALUR,2,38.4,HWH → JPR → KLX,13
MJGP,MAJHGAWAN PHATA,2,38.4,HWH → KTES → MJGP,14
CHDX,CHHADA,2,38.4,HWH → KTES → CHDX,9
JUH,JUJHARPUR,2,38.4,HWH → KTES → JUH,10
ITMA,ITARSI MARSHALING YARD,2,38.4,HWH → KTES → ITMA,8
EDA,ITWAN DUNDAILA,2,38.4,HWH → KTES → EDA,12
BMRN,BHIMRANA,2,38.4,HWH → GGTA → BMRN,9
MOU,MANOHARPUR,2,38.4,HWH → GGTA → MOU,12
