station_code,station_name,longitude,latitude,zone,state,total_connections,in_degree,out_degree,degree_centrality
BDHL,Badhal,75.4516454,27.2520587,NWR,Rajasthan,6,3,3,0.0006674824785849371
KHH,KICHHA,79.519746,28.913427000000002,NER,Uttar Pradesh,4,2,2,0.00044498831905662476
SRKN,Sherekan,74.43499088287354,29.55519806064484,NWR,Rajasthan,5,2,3,0.000556235398820781
BKKA,Bhukarka,74.75103096105158,29.238227312503696,NWR,Rajasthan,2,1,1,0.00022249415952831238
NHR,Nohar,74.77362781763077,29.192562738768984,NWR,Rajasthan,5,3,2,0.000556235398820781
PRGD,Perungudi,80.231363,12.975217,SR,Tamil Nadu,4,2,2,0.00044498831905662476
KNNA,Khinaniyan,74.7179570607841,29.345637263205944,NWR,Haryana,6,3,3,0.0006674824785849371
JKR,JAULKHERA,78.216684,21.838466,,,11,5,6,0.001223717877405718
BYS,BARSALI,78.03136099999999,21.909813,,,9,4,5,0.0010012237178774058
GW,GIRWAR,78.936311,23.838185999999997,,,6,3,3,0.0006674824785849371
DGD,DANGIDHAR,79.019912,23.871771000000003,,,5,3,2,0.000556235398820781
DOD,DHODHAR,75.10354600000001,23.770740999999997,WR,Madhya Pradesh,4,2,2,0.00044498831905662476
GAJ,GANESHGANJ,79.074633,23.895862,,,4,2,2,0.00044498831905662476
JNM,Jayanagar Majilpur Halt,88.415324,22.168635,ER,West Bengal,4,2,2,0.00044498831905662476
NSD,NASIRABAD,74.71699100000001,26.294459999999997,NWR,Rajasthan,4,2,2,0.00044498831905662476
PHA,PATHARIA,79.192899,23.905726,,,5,2,3,0.000556235398820781
NZB,NIZAMABAD,78.103238,18.679164999999998,SCR,Andhra Pradesh,5,2,3,0.000556235398820781
RJO,RAJENDRA PUL,86.01054599999999,25.387446999999998,,,15,8,7,0.0016687061964623428
ADT,ADUTURAI,79.478668,11.009165,SR,Tamil Nadu,8,4,4,0.0008899766381132495
KMU,KUMBAKONAM,79.388644,10.952962,SR,Tamil Nadu,8,4,4,0.0008899766381132495
MNM,MANAMADURAI JN,78.45351,9.681538999999999,SR,Tamil Nadu,6,3,3,0.0006674824785849371
GKP,GORAKHPUR JN,83.381499,26.759311,,,22,12,10,0.002447435754811436
VRM,VARNAMA,73.16928300000001,22.184274000000002,,,10,5,5,0.001112470797641562
GKC,GORAKHPUR CANT,83.416821,26.750649,,,13,6,7,0.0014462120369340306
ITA,ITOLA,73.156746,22.149889,,,12,6,6,0.0013349649571698743
BTU,BARAUT,77.273006,29.09692,NR,Uttar Pradesh,4,2,2,0.00044498831905662476
MOGA,Moga,75.16846699999999,30.817296,NR,Punjab,4,2,2,0.00044498831905662476
SIOB,SAMAKHIALI JN,70.503394,23.309819,,,8,4,4,0.0008899766381132495
RDK,Rasheedpura Khori,75.087121,27.713786000000002,NWR,Rajasthan,4,2,2,0.00044498831905662476
PVD,PEDDAVADIAPUDI,80.612645,16.414205000000003,,,14,8,6,0.0015574591166981867
YLM,ELLAMANCHILI,82.85262,17.553652000000003,,,11,6,5,0.001223717877405718
CHPT,Chatrappatti,77.655113,10.476970999999999,,,0,0,0,0.0
JLD,JARWAL ROAD,81.540406,27.120389,,,6,4,2,0.0006674824785849371
BRJN,BRAJRAJNAGAR,83.923653,21.822718000000002,,,8,3,5,0.0008899766381132495
CLJ,COLONELGANJ,81.69417800000001,27.137698,,,7,4,3,0.0007787295583490933
KTHL,KATHOLA,81.8556626477,27.1465555756,,,9,4,5,0.0010012237178774058
MND,MUNDERWA,82.903373,26.776435,,,13,6,7,0.0014462120369340306
SNSI,SAINAGAR SHIRDI,74.4806877,19.780792299999998,CR,Maharashtra,4,2,2,0.00044498831905662476
DLJ,DHOLA JN,71.738273,21.822549000000002,WR,Gujarat,10,5,5,0.001112470797641562
PGW,PHAGWARA JN,75.7655019775,31.217555749800002,,,14,7,7,0.0015574591166981867
JUP,Jhunpa,75.521553,28.777449,?,Rajasthan,4,2,2,0.00044498831905662476
JSG,JHARSUGUDA JN,84.017427,21.862274,,,17,10,7,0.0018912003559906554
KYW,KARCHHUE,84.20715351199999,26.2311244405,,,8,4,4,0.0008899766381132495
MHRN,MAHENDRANATH,84.509909,26.000739,,,5,3,2,0.000556235398820781
TKVR,TAPPA KHAJURIAY,84.688889,25.807401000000002,,,8,4,4,0.0008899766381132495
DPI,DODDAMPATTI,78.42225009,12.18134581,,,10,4,6,0.001112470797641562
AQG,ASHAPURA GOMAT,71.892665,26.950232,NWR,Rajasthan,5,3,2,0.000556235398820781
NEA,NEYKKARAPATTI,78.09669699999999,11.612765,,,10,3,7,0.001112470797641562
GRL,GORAUL,85.318477,25.931048999999998,,,10,4,6,0.001112470797641562
KHI,KURHANI,85.339288,25.979631,,,7,4,3,0.0007787295583490933
VNJ,TIRUPPUR VANJIPALAYAM,77.26580200000001,11.117790999999999,,,11,7,4,0.001223717877405718
CBF,COIMBATORE NORTH,76.954304,11.019937,,,14,6,8,0.0015574591166981867
UMB,AMBALA CANT JN,76.826966,30.338918,,,19,10,9,0.0021136945155189675
SRO,SIRATHU,81.31786,25.650642,,,9,6,3,0.0010012237178774058
SJT,SHUJAATPUR,81.401934,25.605607000000003,,,8,5,3,0.0008899766381132495
BDNP,BIDANPUR,81.44201699999999,25.585017,,,10,5,5,0.001112470797641562
MTPC,MOTIPURA CHAUKI,77.04829951629999,24.6093382288,WCR,Rajasthan,4,2,2,0.00044498831905662476
HTZ,HATHIDAH JN,85.987826,25.367027,,,11,5,6,0.001223717877405718
DDNI,DUDHNOI,90.76188,26.001459,NFR,Assam,7,4,3,0.0007787295583490933
RDE,RUNDHI,77.350991,28.067751,,,15,11,4,0.0016687061964623428
IJ,ITAUNJA,80.89123400000001,27.081066999999997,NER,Uttar Pradesh,5,2,3,0.000556235398820781
RMX,Ramsar,70.866078,25.722252,NWR,Rajasthan,4,2,2,0.00044498831905662476
PBE,PILIBHIT JN,79.813946,28.614977999999997,NER,Uttar Pradesh,20,9,11,0.002224941595283124
RMB,Rampura Beri,75.64547982849999,28.5301320576,NWR,Rajasthan,4,2,2,0.00044498831905662476
MGS,MUGHAL SARAI JN,83.11925000000001,25.278149,,,31,17,14,0.003448659472688842
